Date,AdjClose,AdjCloseAXP
8/3/2007,125.4480312,95.73403558
8/6/2007,130.0097829,100.2967881
8/7/2007,133.4310873,100.6298009
8/8/2007,138.318673,104.8428653
8/9/2007,127.989578,100.9961876
8/10/2007,127.3379005,101.2126377
8/13/2007,124.3401841,98.99786869
8/14/2007,122.1244714,95.41764336
8/15/2007,119.7784325,94.48511069
8/16/2007,116.9436331,96.86641342
8/17/2007,121.2121229,98.06535164
8/20/2007,124.5356827,97.71567142
8/21/2007,123.0042383,98.48168598
8/22/2007,126.8817216,100.1302465
8/23/2007,124.4379288,99.96373623
8/24/2007,127.8918241,101.3958232
8/27/2007,130.0749459,99.84716574
8/28/2007,126.6536415,95.50091804
8/29/2007,133.4962597,96.81645018
8/30/2007,131.8344798,96.11704286
8/31/2007,141.5770698,97.61573712
9/4/2007,140.8928014,101.1960249
9/5/2007,137.6018325,98.7814342
9/6/2007,136.852401,98.91463307
9/7/2007,134.6366976,96.1669983
9/10/2007,134.6366976,97.76563466
9/11/2007,136.2658866,98.8646542
9/12/2007,134.7670331,99.04786318
9/13/2007,136.7220655,100.9128895
9/14/2007,136.5591485,98.14863413
9/17/2007,134.3108542,96.91636886
9/18/2007,139.0355229,101.2459569
9/19/2007,139.2636124,101.4957263
9/20/2007,136.59173,100.1135791
9/21/2007,135.5816276,98.71481133
9/24/2007,134.2456911,97.23275327
9/25/2007,134.4411897,97.96544077
9/26/2007,135.4838737,98.26516557
9/27/2007,135.7771355,99.19772948
9/28/2007,132.0951508,98.8646542
10/1/2007,134.4086082,100.9628527
10/2/2007,136.6243116,100.9462009
10/3/2007,137.113072,99.92791765
10/4/2007,131.9973968,99.76095435
10/5/2007,134.7996147,101.9979127
10/8/2007,133.9850201,101.3134468
10/9/2007,134.8973686,104.3684137
10/10/2007,135.3535382,103.3167018
10/11/2007,136.428813,104.2515308
10/12/2007,134.4411897,105.5536134
10/15/2007,132.5513297,103.166445
10/16/2007,128.348003,100.5455733
10/17/2007,128.2176675,100.2951635
10/18/2007,127.1424019,97.92467039
10/19/2007,122.0593083,95.33714919
10/22/2007,120.2020298,94.93652161
10/23/2007,119.126755,97.92467039
10/24/2007,119.6806785,98.39210048
10/25/2007,118.344742,99.76095435
10/26/2007,123.7862513,101.2800807
10/29/2007,122.1570622,101.01298
10/30/2007,125.0244431,100.6624016
10/31/2007,124.7963537,101.7475029
11/1/2007,119.289672,97.47394679
11/2/2007,118.9312564,97.52404281
11/5/2007,110.9807818,97.10669312
11/6/2007,113.0987313,97.77444481
11/7/2007,109.0909125,92.43245472
11/8/2007,103.2583967,93.65111425
11/9/2007,93.32030817,94.30215165
11/12/2007,93.45064367,93.63443901
11/13/2007,94.78658017,98.75933853
11/14/2007,91.07201388,98.65916992
11/15/2007,89.31248003,97.22356822
11/16/2007,86.77094252,97.94136907
11/19/2007,85.40241515,95.77120536
11/20/2007,88.36755001,95.15354188
11/21/2007,87.71587253,90.71300681
