Date,Nasdaq,Amazon,Cisco
7/9/1997,116.0794926,118.6170229,121.3717599
7/10/1997,116.4152503,130.8510612,121.3717599
7/11/1997,117.3280278,117.0212783,120.0794886
7/14/1997,118.9880583,109.042555,121.7693703
7/15/1997,120.4114972,124.4680826,124.0059784
7/16/1997,123.4192289,119.1489297,126.14312
7/17/1997,122.4994171,113.29787,125.1490808
7/18/1997,120.8706215,110.1063807,121.5208494
7/21/1997,119.9523728,111.436172,122.0675935
7/22/1997,122.1097872,109.042555,125.6461136
7/23/1997,122.4057222,117.0212783,127.8329576
7/24/1997,122.5212825,115.4255336,127.0377544
7/25/1997,122.5564157,113.829789,126.7395665
7/28/1997,122.0840235,118.6170229,123.0616327
7/29/1997,122.7703604,126.5957462,126.0437416
7/30/1997,123.9986031,125.0000015,126.441352
7/31/1997,124.4483579,122.340419,126.5407569
8/1/1997,124.4889527,123.4042569,126.9383408
8/4/1997,125.3572275,118.085104,129.8210802
8/5/1997,126.612797,112.7659511,130.3180954
8/6/1997,127.3085034,114.8936147,127.8329576
8/7/1997,126.819717,111.1702065,125.3478992
8/8/1997,124.8161225,117.0212783,122.6640047
8/11/1997,123.8963107,118.8829763,119.9801279
8/12/1997,123.0764465,112.2340443,118.0914277
8/13/1997,123.6355184,112.2340443,119.4831126
8/14/1997,123.8924027,110.1063807,122.4651863
8/15/1997,121.9669,107.9787172,118.8866838
8/18/1997,122.5517357,104.2553211,120.9741406
8/19/1997,124.9871181,110.6382997,120.4771254
8/20/1997,127.172641,110.6382997,124.6520744
8/21/1997,125.5063673,107.9787172,123.1610287
8/22/1997,124.8293904,108.5106361,122.0675935
8/25/1997,125.0542678,113.29787,124.3538864
8/26/1997,124.2523705,119.6808486,123.3598472
8/27/1997,124.5834387,118.3510574,122.6640047
8/28/1997,123.4731012,121.2765933,119.2842854
8/29/1997,123.941595,119.4148953,119.8807231
9/2/1997,126.3441889,120.2127676,122.8627967
9/3/1997,126.3559032,119.1489297,123.7574135
9/4/1997,126.8548502,130.3191422,123.1610287
9/5/1997,127.7246882,127.6595719,124.5526607
9/8/1997,128.4727132,153.1914863,120.675935
9/9/1997,129.3214675,165.4255245,120.8747535
9/10/1997,127.9964131,168.6170138,115.3081373
9/11/1997,128.0440422,161.1702095,114.8111485
9/12/1997,128.7834793,188.2978685,114.9105357
9/15/1997,127.6583202,157.9787202,110.9344052
9/16/1997,130.2881267,171.2765963,118.4890205
9/17/1997,130.1218111,173.9361667,118.0914277
9/18/1997,130.399007,168.085107,117.793231
9/19/1997,131.2063754,201.5957446,116.5009773
9/22/1997,131.9161408,229.7872294,119.582491
9/23/1997,132.5337745,236.170208,120.8747535
9/24/1997,131.7568594,223.4042508,118.5884694
9/25/1997,131.0915967,208.2446766,115.9045749
9/26/1997,131.3531705,212.765945,117.0973797
9/29/1997,132.3479382,206.3829664,117.8926269
9/30/1997,131.6225506,221.5425406,116.2027629
10/1/1997,131.9825184,205.3191529,115.8051525
10/2/1997,132.9280939,204.7872218,120.9741406
10/3/1997,133.9790787,205.0531873,124.8509016
10/6/1997,134.4506988,210.6382936,126.5407569
10/7/1997,135.6500418,207.1808387,129.9204409
10/8/1997,136.0014122,204.5212806,128.528853
10/9/1997,136.3199846,191.4893578,130.2186906
10/10/1997,135.7874674,199.2021277,129.5228481
10/13/1997,136.0287391,204.255315,130.0198457
10/14/1997,135.3002346,203.1914893,128.7276185
10/15/1997,134.5646959,200.2659534,132.2067161
10/16/1997,132.7133676,185.1063792,129.9204409
10/17/1997,130.1514827,185.1063792,127.2365905
10/20/1997,131.6038116,195.2127661,129.5228481
10/21/1997,133.719068,226.0638333,134.0953986
10/22/1997,133.3708145,230.8510673,133.4989874
10/23/1997,130.4950467,229.7872294,129.6222617
10/24/1997,128.907637,256.6489228,127.6341921
10/27/1997,119.680648,218.0851101,115.9045749
10/28/1997,125.1674928,252.6595612,127.2365905
10/29/1997,125.1464091,275.2659519,128.0317848
10/30/1997,122.6212301,261.7021223,127.1371592
10/31/1997,124.4327357,259.5744709,130.4671585
11/3/1997,127.2725886,259.0425398,134.7912587
11/4/1997,127.3639484,253.1914923,132.703749
11/5/1997,127.8464916,248.9361652,135.8846851
11/6/1997,126.7619273,238.0319182,134.6918451
11/7/1997,125.1190822,228.7233915,132.9025586
11/10/1997,124.2070767,214.8936208,130.1192681
11/11/1997,123.7495156,201.5957446,128.2305768
11/12/1997,120.3802623,192.5531835,121.6699831
11/13/1997,121.749829,197.0744641,126.5407569
11/14/1997,123.6441064,212.765945,129.4234433
11/17/1997,126.0334229,223.4042508,132.1073378
