,Date,GSPC_Price,GSPC_Percent,Zoom_Price,Zoom_Percent,Boeing_Price,Boeing_Percent,Royal_Cruise_Price,Royal_Cruise_Percent,JNJ_Price,JNJ_Percent,Chevron_Price,Chevron_Percent,Adidas_Price,Adidas_Percent,GILD_Price,GILD_Percent,FORD_Price,FORD_Percent,MRNA_Price,MRNA_Percent,Marriott_Price,Marriott_Percent,Center
0,2020-01-31,3225.52001953125,100.0,76.30000305175781,100.0,316.3875732421875,100.0,115.92926788330078,100.0,147.9267120361328,100.0,105.9022216796875,100.0,158.16000366210938,100.0,62.616878509521484,100.0,1.0800000429153442,100.0,20.510000228881836,100.0,139.50064086914062,100.0,100
1,2020-02-03,3248.919921875,100.72546138923516,87.66000366210938,114.88859784533108,314.1310119628906,99.28677310041834,115.30545043945312,99.46189822877548,149.21847534179688,100.87324546586862,105.05215454101562,99.19730943771606,157.6999969482422,99.70915104753668,65.74771881103516,104.99999421248314,1.0800000429153442,100.0,20.3799991607666,99.36615764668706,140.9149627685547,101.01384616629883,100
2,2020-02-04,3297.590087890625,102.23437051771418,85.79000091552734,112.43774244325,316.0595397949219,99.89631911142904,116.84022521972656,100.78578718994653,150.63943481445312,101.83382888795481,105.61557006835938,99.72932427027345,161.27999877929688,101.97268275477094,66.77812957763672,106.64557411222995,1.1200000047683716,103.70370002440478,20.8700008392334,101.75524430197038,146.8113250732422,105.2406097624737,100
3,2020-02-05,3334.68994140625,103.38456810728043,86.98999786376953,114.01047756808109,327.6008605957031,103.54416175028851,117.09767150878906,101.00785905649334,153.0142822265625,103.43925050479524,109.00594329833984,102.93074268832609,160.36000061035156,101.39099449753569,65.26224517822266,104.22468626937211,1.1399999856948853,105.55555003660719,20.049999237060547,97.75718680308194,147.12010192871094,105.46195416171442,100
4,2020-02-06,3345.780029296875,103.72839136131302,87.26000213623047,114.36434947065204,339.4106140136719,107.27684736020298,115.5232925415039,99.64980772396014,152.55718994140625,103.13025135321226,108.22506713867188,102.19338690174986,159.25999450683594,100.69549242492215,67.58065032958984,107.92721058318737,1.1399999856948853,105.55555003660719,19.8799991607666,96.92832247155182,145.63604736328125,104.39812065085492,100
5,2020-02-07,3327.7099609375,103.16816949786289,88.63999938964844,116.1729958641284,334.75830078125,105.80639983764473,110.45362091064453,95.27673462221097,150.92758178710938,102.02861924643034,107.68142700195312,101.68004532298389,157.9499969482422,99.86721882334054,68.23456573486328,108.97152231005506,1.1200000047683716,103.70370002440478,23.239999771118164,113.31057782433365,143.49462890625,102.86306070870022,100
6,2020-02-10,3352.090087890625,103.92402054840662,89.66999816894531,117.52292867946285,342.6314697265625,108.29485691092104,108.62179565429688,93.69661142313095,150.8977813720703,102.00847385508831,108.5216064453125,102.47339925837213,156.47000122070312,98.93146029193528,68.35345458984375,109.16138941587445,1.1299999952316284,104.62962503050599,23.649999618530273,115.3096019239763,145.1479949951172,104.04826392967908,100
7,2020-02-11,3357.75,104.09949340472444,88.68000030517578,116.22542170151691,342.3829345703125,108.21630289133579,111.94877624511719,96.56644804986561,151.02696228027344,102.09580149620534,109.92520141601562,103.79876802631776,156.75999450683594,99.11481466688355,67.13480377197266,107.21518761393412,1.1699999570846558,108.33332505491077,21.350000381469727,104.09556383819547,146.6021728515625,105.09068054324102,100
8,2020-02-12,3379.449951171875,104.77225162790944,88.27999877929688,115.70117332683785,345.39501953125,109.16832667977701,116.07779693603516,100.12812040949304,150.1326446533203,101.49123345393404,110.74561309814453,104.57345591210199,158.74000549316406,100.36671839758793,66.332275390625,105.93353895873068,1.1399999856948853,105.55555003660719,19.010000228881836,92.68649447459427,150.17782592773438,107.6538609371763,100
9,2020-02-13,3373.93994140625,104.60142615690754,89.86000061035156,117.77194890725677,342.82000732421875,108.35444761978621,112.5032730102539,97.0447541543214,149.1389923095703,100.81951410718936,110.37000274658203,104.21877935706374,156.32000732421875,98.83662348552953,66.18366241455078,105.69620203039494,1.1399999856948853,105.55555003660719,19.045000076293945,92.85714219288549,146.13404846191406,104.75510904569674,100
10,2020-02-14,3380.159912109375,104.79426237139269,90.94999694824219,119.20051547907096,340.489990234375,107.61800368617438,112.04779815673828,96.6518638498867,149.17874145507812,100.84638494407928,110.08000183105469,103.94494098906002,156.11000061035156,98.70384230887007,66.9366455078125,106.89872619190712,1.1399999856948853,105.55555003660719,19.0,92.6377366551392,144.32130432128906,103.45565685011475,100
11,2020-02-18,3370.2900390625,104.48826913659302,96.38999938964844,126.3302693766115,338.8800048828125,107.10913877246612,110.31499481201172,95.15715645082774,148.19500732421875,100.18137041268137,110.23999786376953,104.09602000343496,154.14999389648438,97.46458670158358,66.3917236328125,106.02847860376339,1.1299999952316284,104.62962503050599,18.90999984741211,92.1989255796466,144.3611602783203,103.4842272973779,100
12,2020-02-19,3386.14990234375,104.97996855824331,103.93000030517578,136.2123147422095,338.29998779296875,106.9258139079969,109.9189224243164,94.8155064128977,147.99627685546875,100.04702654333244,110.73999786376953,104.56815363016123,158.02999877929688,99.91780166932075,66.72858428955078,106.56644961853867,1.1100000143051147,102.77777501830359,18.920000076293945,92.24768339910167,147.04042053222656,105.40483514348776,100
13,2020-02-20,3373.22998046875,104.57941541342429,105.29000091552734,137.9947532165946,336.2799987792969,106.28735994061378,108.72081756591797,93.78202722315201,147.4298858642578,99.66414032662766,109.80999755859375,103.68998479628286,154.94000244140625,97.96408627583098,66.3818130493164,106.01265126817592,1.0700000524520874,99.07407499389879,18.540000915527344,90.3949327578243,146.25355529785156,104.84077663488695,100
